year,site,ROADWAY,DESC_FRM,DESC_TO,aadt,KFCTR,DFCTR,COUNTY
2021,034131,03060000,COLLIER BLVD/SR 951,S BARFIELD DR,10600,9,56.7,Collier
2021,034507,03631000,BEARS PAW TR,N/A,50500,9,56.7,Collier
2021,030272,03000302,GOLDEN GATE BLVD,12TH AVE NE,190,9,56.7,Collier
2021,035029,03010000,NAPLES PLZ  ENT,BANYAN BLVD,35500,9,55.1,Collier
2021,030205,03080000,CR 858 / OIL WELL RD,NEW HARVEST RD,8300,9,58.3,Collier
2021,034148,03510100,PELICAN EAST,SR 951/COLLIER BLVD,4200,9,56.7,Collier
2021,037039,03175039,CR 886/GOLDEN GATE,RAMP# 03175038,7200,9,99.9,Collier
2021,030014,03010000,TREETOPS DR,SR 951,37000,9,55.1,Collier
2021,030158,03631000,N/A,CR 896/PINE RIDGE RD,34500,9,56.7,Collier
2021,034597,03521000,VANDERBILTBCHRDCR862,IMMOKALEE RD/CR 846,28500,9,56.7,Collier
2021,034144,03510000,SAN MARCO RD,END OF ROUNDABOUT,14800,9,56.7,Collier
2021,030048,03060000,S BARFIELD DR,US 41/TAMIAMI TRL,3800,9,56.7,Collier
2021,034657,03030000,VERONA WALK BLVD,N/A,36500,9,55.1,Collier
2021,034185,03600000,SNOOK ALLEY,BROADWAY,1500,9.5,56.7,Collier
2021,034152,03514000,US-41/SR-45,CHANNEL THIRTY DR,15400,9,56.7,Collier
2021,030018,03010000,SHOPPING CENTER ENT,111TH AVE N/CR 846,59000,9,55.1,Collier
2021,030067,03631102,CR 886 WB Off Ramp, ,9500,9,99.9,Collier
2021,030023,03003000,NORTH RD,UNSIGNED,50000,9,56.7,Collier
2021,034157,03527000,CR 858/OIL WELL RD,CR 846/IMMOKALEE RD,2200,9.5,56.7,Collier
2021,037003,03175028,SR-29,I-75,650,10.5,99.9,Collier
2021,037013,03175007,SR-951 SB,I-75 NB,13500,10.5,99.9,Collier
2021,030005,03010000,IMPERIAL WILDRNSS BV,SAN MARCO DR/CR 92,5000,9.5,56.7,Collier
2021,030054,03550000,US 41,GOODLETTE-FRANK RD,4300,9,56.7,Collier
2021,034127,03000601,SCOTT DR,CR 92/SAN MARCO DR,7800,9,56.7,Collier
2021,034510,03511000,N/A,CR 951/COLLIER BLVD,18600,9,56.7,Collier
2021,030011,03040000,CR 94/LOOP RD,DADE CO LN,2300,9.5,58.3,Collier
2021,034528,03513000,RADIO RD/CR 856,GOLDEN GATE PKWY,39000,9,56.7,Collier
2021,030001,03080000,LK TRAFFORD RD,CR 29A,14500,9,58.3,Collier
2021,034601,03030000,N/A,BECK BLVD,50000,9,55.1,Collier
2021,034567,03590000,SR 45/US 41,TURNOUT TO I75 SB,56500,9,56.7,Collier
2021,034155,03519000,GREEN BLVD,VANDERBILT BEACH RD,27500,9,56.7,Collier
2021,034010,03507000,THE COMMONS,GOLDEN GATE PKWY,35500,9,56.7,Collier
2021,030012,03010000,GULF PARK DR,SEAGATE DR/CR 896,44000,9,55.1,Collier
2021,034203,03590000,TURNOUT TO I75 SB,MAIN ST/SR 29,8400,9.5,56.7,Collier
2021,034201,03000064,UNSIGNED,LK TRAFFORD RD/CR890,3000,9,56.7,Collier
2021,030173,03175000,BROWARD COUNTY LINE,N/A,23500,10.5,55.5,Collier
2021,030035,03003000,N/A,N/A,50500,9,56.7,Collier
2021,037033,03175023,IMMOKALEE RD/CR 846,I-75 NB / SR 93,18500,9,99.9,Collier
2021,030015,03010000,THOMASSON DR,TREETOPS DR,43500,9,55.1,Collier
2021,034166,03530000,AIRPORT PULLING,N/A,25000,9,56.7,Collier
2021,030050,03515000,52ND AVE SE,GOLDEN GATE BLVD,5900,9,56.7,Collier
2021,034034,03530000,DANFORD STREET,BAYSHORE DR,2100,9,56.7,Collier
2021,034569,03507000,US-41/TAMIAMI TRL,THE COMMONS,26500,9,56.7,Collier
2021,030104,03040000,CR 29,CR839TURNER RIVER RD,2700,9.5,58.3,Collier
2021,037038,03175038,CR 886/GOLDEN GATE,I-75 / SR 93 NB,11000,9,99.9,Collier
2021,037021,03175009,I-75/SR-93,PINE RIDGE RD/CR-896,5300,9,99.9,Collier
