county_name,site,date,volume
Collier,03-0094,2024-01-01,30970
Collier,03-0094,2024-01-02,50891
Collier,03-0094,2024-01-03,52477
Collier,03-0094,2024-01-04,52252
Collier,03-0094,2024-01-05,53538
Collier,03-0094,2024-01-06,41114
Collier,03-0094,2024-01-07,34120
Collier,03-0094,2024-01-08,49999
Collier,03-0094,2024-01-09,50544
Collier,03-0094,2024-01-10,52101
Collier,03-0094,2024-01-11,52160
Collier,03-0094,2024-01-12,53862
Collier,03-0094,2024-01-13,43865
Collier,03-0094,2024-01-14,34090
Collier,03-0094,2024-01-15,46758
Collier,03-0094,2024-01-16,51451
Collier,03-0094,2024-01-17,52923
Collier,03-0094,2024-01-18,52991
Collier,03-0094,2024-01-19,53941
Collier,03-0094,2024-01-20,46981
Collier,03-0094,2024-01-21,35936
Collier,03-0094,2024-01-22,50910
Collier,03-0094,2024-01-23,52486
Collier,03-0094,2024-01-24,52696
Collier,03-0094,2024-01-25,53201
Collier,03-0094,2024-01-26,54929
Collier,03-0094,2024-01-27,46244
Collier,03-0094,2024-01-28,35168
Collier,03-0094,2024-01-29,52209
Collier,03-0094,2024-01-30,52837
Collier,03-0094,2024-01-31,52454
Collier,03-0094,2024-02-01,53025
Collier,03-0094,2024-02-02,55896
Collier,03-0094,2024-02-03,48615
Collier,03-0094,2024-02-04,35113
Collier,03-0094,2024-02-05,50351
Collier,03-0094,2024-02-06,53516
Collier,03-0094,2024-02-07,53800
Collier,03-0094,2024-02-08,53846
Collier,03-0094,2024-02-09,57667
Collier,03-0094,2024-02-10,49985
Collier,03-0094,2024-02-11,37036
Collier,03-0094,2024-02-12,52235
Collier,03-0094,2024-02-13,55263
Collier,03-0094,2024-02-14,56127
Collier,03-0094,2024-02-15,54008
Collier,03-0094,2024-02-16,56198
Collier,03-0094,2024-02-17,47157
Collier,03-0094,2024-02-18,33490
Collier,03-0094,2024-02-19,50993
Collier,03-0094,2024-02-20,54323
Collier,03-0094,2024-02-21,54596
Collier,03-0094,2024-02-22,54469
Collier,03-0094,2024-02-23,56086
Collier,03-0094,2024-02-24,47371
Collier,03-0094,2024-02-25,39499
Collier,03-0094,2024-02-26,52621
Collier,03-0094,2024-02-27,54350
Collier,03-0094,2024-02-28,54260
Collier,03-0094,2024-02-29,54175
Collier,03-0094,2024-03-01,54990
Collier,03-0094,2024-03-02,46517
Collier,03-0094,2024-03-03,38170
Collier,03-0094,2024-03-04,52147
Collier,03-0094,2024-03-05,54288
Collier,03-0094,2024-03-06,52830
Collier,03-0094,2024-03-07,53809
Collier,03-0094,2024-03-08,56028
Collier,03-0094,2024-03-09,47237
Collier,03-0094,2024-03-10,37219
Collier,03-0094,2024-03-11,51454
Collier,03-0094,2024-03-12,53560
Collier,03-0094,2024-03-13,53060
Collier,03-0094,2024-03-14,53062
Collier,03-0094,2024-03-15,54376
Collier,03-0094,2024-03-16,45989
Collier,03-0094,2024-03-17,37800
Collier,03-0094,2024-03-18,51835
Collier,03-0094,2024-03-19,54359
Collier,03-0094,2024-03-20,53853
Collier,03-0094,2024-03-21,53623
Collier,03-0094,2024-03-22,48286
Collier,03-0094,2024-03-23,45731
Collier,03-0094,2024-03-24,38022
Collier,03-0094,2024-03-25,52573
Collier,03-0094,2024-03-26,54016
Collier,03-0094,2024-03-27,53755
Collier,03-0094,2024-03-28,54605
Collier,03-0094,2024-03-29,53267
Collier,03-0094,2024-03-30,45140
Collier,03-0094,2024-03-31,32873
Collier,03-0094,2024-04-01,50645
Collier,03-0094,2024-04-02,52564
Collier,03-0094,2024-04-03,51861
Collier,03-0094,2024-04-04,52704
Collier,03-0094,2024-04-05,54270
Collier,03-0094,2024-04-06,44579
Collier,03-0094,2024-04-07,34988
Collier,03-0094,2024-04-08,49174
Collier,03-0094,2024-04-09,50350
Collier,03-0094,2024-04-10,51062
Collier,03-0094,2024-04-11,50027
Collier,03-0094,2024-04-12,52881
Collier,03-0094,2024-04-13,45003
Collier,03-0094,2024-04-14,36875
Collier,03-0094,2024-04-15,51065
Collier,03-0094,2024-04-16,52374
Collier,03-0094,2024-04-17,52586
Collier,03-0094,2024-04-18,52322
Collier,03-0094,2024-04-19,53476
Collier,03-0094,2024-04-20,44113
Collier,03-0094,2024-04-21,34511
Collier,03-0094,2024-04-22,47529
Collier,03-0094,2024-04-23,49809
Collier,03-0094,2024-04-24,49725
Collier,03-0094,2024-04-25,49174
Collier,03-0094,2024-04-26,50203
Collier,03-0094,2024-04-27,41671
Collier,03-0094,2024-04-28,33111
Collier,03-0094,2024-04-29,46663
Collier,03-0094,2024-04-30,47557
Collier,03-0094,2024-05-01,47718
Collier,03-0094,2024-05-02,47594
Collier,03-0094,2024-05-03,48963
Collier,03-0094,2024-05-04,37892
Collier,03-0094,2024-05-05,31224
Collier,03-0094,2024-05-06,45307
Collier,03-0094,2024-05-07,45982
Collier,03-0094,2024-05-08,46203
Collier,03-0094,2024-05-09,46062
Collier,03-0094,2024-05-10,47949
Collier,03-0094,2024-05-11,38898
Collier,03-0094,2024-05-12,31961
Collier,03-0094,2024-05-13,43407
Collier,03-0094,2024-05-14,44883
Collier,03-0094,2024-05-15,47073
Collier,03-0094,2024-05-16,45279
Collier,03-0094,2024-05-17,46702
Collier,03-0094,2024-05-18,37611
Collier,03-0094,2024-05-19,29101
Collier,03-0094,2024-05-20,43559
Collier,03-0094,2024-05-21,44430
Collier,03-0094,2024-05-22,45074
Collier,03-0094,2024-05-23,45790
Collier,03-0094,2024-05-24,47217
Collier,03-0094,2024-05-25,38096
