county,site,year,aadt
03,0001,1970,3990
03,0001,1971,3805
03,0001,1972,2978
03,0001,1973,3920
03,0001,1974,4025
03,0001,1975,4191
03,0001,1976,2140
03,0001,1977,3793
03,0001,1978,3365
03,0001,1979,4098
03,0001,1980,3498
03,0001,1981,4505
03,0001,1982,3378
03,0001,1983,3683
03,0001,1984,3658
03,0001,1985,3807
03,0001,1988,7089
03,0001,1989,6687
03,0001,1992,6300
03,0001,1993,6400
03,0001,1994,6800
03,0001,1995,7500
03,0001,1996,7200
03,0001,1997,7500
03,0001,1998,8700
03,0001,1999,8500
03,0001,2000,8700
03,0001,2001,9900
03,0001,2002,8600
03,0001,2003,10400
03,0001,2004,10300
03,0001,2005,11400
03,0001,2006,11900
03,0001,2007,11400
03,0001,2008,10500
03,0001,2009,10900
03,0001,2010,10900
03,0001,2011,11100
03,0001,2012,10200
03,0001,2013,10100
03,0001,2014,10500
03,0001,2015,11700
03,0001,2016,12600
03,0001,2017,13800
03,0001,2018,13100
03,0001,2019,12800
03,0001,2020,11800
03,0001,2021,14500
03,0001,2022,14900
03,0001,2023,16400
03,0001,2024,12400
03,0001,2025,12600
03,0002,1970,2459
03,0002,1971,2476
03,0002,1972,2268
03,0002,1973,2585
03,0002,1974,3759
03,0002,1975,3580
03,0002,1976,3175
03,0002,1977,3430
03,0002,1978,3738
03,0002,1979,4670
03,0002,1980,4853
03,0002,1981,5178
03,0002,1982,4330
03,0002,1983,4669
03,0002,1984,5269
03,0002,1985,6338
03,0002,1986,9170
03,0002,1987,7668
03,0002,1988,7226
03,0002,1989,6614
03,0002,1991,6333
03,0002,1992,7400
03,0002,1993,7200
03,0002,1994,6900
03,0002,1995,6700
03,0002,1996,7400
03,0002,1997,6800
03,0002,1998,8800
03,0002,1999,9300
03,0002,2000,9300
03,0002,2001,9600
03,0002,2002,8700
03,0002,2003,8600
03,0002,2004,9800
03,0002,2005,8900
03,0002,2006,8700
03,0002,2007,9900
03,0002,2008,7400
03,0002,2009,7200
03,0002,2010,6000
03,0002,2011,6000
03,0002,2012,5400
03,0002,2013,5300
03,0002,2014,5500
03,0002,2015,6700
03,0002,2016,7100
03,0002,2017,8100
03,0002,2018,8700
03,0002,2019,9300
03,0002,2020,8600
03,0002,2021,8700
03,0002,2022,8900
03,0002,2023,9800
03,0002,2024,10400
03,0002,2025,10100
03,0003,1970,17299
03,0003,1971,19245
03,0003,1972,19329
03,0003,1973,23815
03,0003,1975,29093
03,0003,1976,23935
03,0003,1977,25200
03,0003,1978,29708
03,0003,1979,30563
03,0003,1980,31480
03,0003,1981,32858
03,0003,1982,33273
03,0003,1983,30921
03,0003,1984,31068
03,0003,1985,29619
03,0003,1986,30230
03,0003,1987,30186
03,0003,1988,30852
03,0003,1989,30749
03,0003,1990,32083
03,0003,1991,36404
03,0003,1992,39000
03,0003,1993,41500
