state,lat,lon,counties,mean_agi,people,share
IL,41.89608441106128,-87.86678695067263,6,396.0463378176383,1338,0.1384806458290209
NY,41.10724527773344,-74.15233401596169,11,168.49082202713487,1253,0.12968329538397846
MA,42.19868046931067,-70.96104579131256,8,286.48819641170917,1059,0.10960463672117574
NJ,40.41108116347993,-74.35796470936903,14,164.68164435946463,1046,0.10825915959428689
PA,40.1932982750533,-76.42344685927506,6,211.86567164179104,469,0.04854067480852826
OH,40.57361223076923,-82.48360422008547,6,313.4957264957265,468,0.04843717656799834
MI,42.63430848306998,-83.50020244018059,4,216.4040632054176,443,0.04584972055475057
CT,41.45471870709382,-72.98130673913043,6,216.73226544622426,437,0.0452287311115711
MN,44.96914594133333,-93.304690464,4,299.9893333333333,375,0.03881184019871662
CA,34.033321941002946,-118.124176100295,4,162.21828908554573,339,0.03508590353963983
TX,31.068259776173285,-96.76496685559567,5,101.73646209386281,277,0.028669012626785343
MD,39.183759356807514,-76.87177375117372,3,256.30516431924883,213,0.02204512523287104
MO,38.71770032298136,-91.26907108695653,2,258.01863354037266,161,0.01666321672531567
IN,39.9148627875,-86.0801775625,2,350.91875,160,0.016559718484785758
CO,39.41444388461538,-104.72614448076924,4,85.46794871794872,156,0.016145725522666115
VA,38.900506666666665,-77.37638292307692,2,195.68589743589743,156,0.016145725522666115
GA,33.82925443046357,-84.45510419205299,3,184.53642384105962,151,0.01562823432001656
WI,42.98337451408451,-88.15796805633804,2,365.2323943661972,142,0.014696750155247362
RI,41.67163837410072,-71.59195276978417,3,224.19424460431654,139,0.014386255433657628
NC,35.53578926605505,-79.67212499082568,2,171.78899082568807,109,0.011281308217760298
AZ,33.345176,-112.49893,1,96.36082474226804,97,0.010039329331401366
NH,43.12096825531915,-71.34629744680852,2,133.70212765957447,94,0.009728834609811634
ME,43.636959137931036,-70.4819146551724,2,204.19540229885058,87,0.009004346926102256
DE,39.10307842857143,-75.48326590476191,2,201.4047619047619,84,0.008693852204512523
NV,36.21413,-115.014398,1,137.55555555555554,81,0.00838335748292279
WA,47.490552,-121.83397700000002,1,181.38235294117646,68,0.007037880356033948
KY,38.189532,-85.657624,1,355.84375,64,0.006623887393914303
KS,38.883907,-94.82233,1,138.76271186440678,59,0.006106396191264749
SC,32.53352506896552,-80.39322086206897,2,94.86206896551724,58,0.006002897950734837
DC,38.904247,-77.016517,1,162.55,40,0.004139929621196439
TN,36.169129,-86.78479,1,121.8974358974359,39,0.004036431380666529
