year,month,passengers
1984,1,119003
1984,2,145264
1984,3,194287
1984,4,162774
1984,5,95239
1984,6,74839
1984,7,69056
1984,8,75638
1984,9,59129
1984,10,78312
1984,11,110087
1984,12,128309
1985,1,141374
1985,2,178502
1985,3,252168
1985,4,209759
1985,5,132641
1985,6,105550
1985,7,105729
1985,8,104585
1985,9,76252
1985,10,99949
1985,11,121252
1985,12,174208
1986,1,190848
1986,2,217399
1986,3,291152
1986,4,233442
1986,5,153850
1986,6,129823
1986,7,139460
1986,8,146677
1986,9,109977
1986,10,138004
1986,11,172869
1986,12,206047
1987,1,227394
1987,2,283523
1987,3,367799
1987,4,311189
1987,5,217286
1987,6,166567
1987,7,171679
1987,8,166045
1987,9,131943
1987,10,171489
1987,11,222977
1987,12,249162
1988,1,277516
1988,2,344286
1988,3,423866
1988,4,355450
1988,5,229545
1988,6,192604
1988,7,184775
1988,8,185683
1988,9,150429
1988,10,214449
1988,11,268579
1988,12,287942
1989,1,321471
1989,2,366349
1989,3,424953
1989,4,346751
1989,5,226827
1989,6,196417
1989,7,194298
1989,8,194431
1989,9,160363
1989,10,223199
1989,11,273635
1989,12,302398
1990,1,352907
1990,2,404012
1990,3,501920
1990,4,433853
1990,5,291345
1990,6,234406
1990,7,226405
1990,8,237382
1990,9,176062
1990,10,240400
1990,11,310104
1990,12,325271
1991,1,385045
1991,2,407226
1991,3,469963
1991,4,381791
1991,5,242127
1991,6,199281
1991,7,191704
1991,8,193292
1991,9,153405
1991,10,214520
1991,11,269347
1991,12,328819
1992,1,340820
1992,2,385415
1992,3,452125
1992,4,353761
1992,5,241220
1992,6,221217
1992,7,233395
1992,8,223537
1992,9,181768
1992,10,221033
1992,11,284867
1992,12,333503
1993,1,358666
1993,2,409624
1993,3,490243
1993,4,440155
1993,5,275765
1993,6,216392
1993,7,213790
1993,8,216174
1993,9,178005
1993,10,252570
1993,11,313200
1993,12,353174
1994,1,386371
1994,2,432144
1994,3,563626
1994,4,455235
1994,5,291418
1994,6,232057
1994,7,232079
1994,8,234627
1994,9,201421
1994,10,260543
1994,11,338805
1994,12,376741
1995,1,422443
1995,2,447864
1995,3,564559
1995,4,478355
1995,5,292074
1995,6,242179
1995,7,235412
1995,8,230176
1995,9,187256
1995,10,263465
1995,11,343441
1995,12,391040
1996,1,424428
1996,2,503291
1996,3,600771
1996,4,497808
1996,5,321816
1996,6,262798
1996,7,252172
1996,8,246512
1996,9,193200
1996,10,272850
1996,11,336544
1996,12,405157
1997,1,434198
1997,2,489485
1997,3,615288
1997,4,487060
1997,5,343538
1997,6,276806
1997,7,280088
1997,8,270287
1997,9,214043
1997,10,296371
1997,11,356838
1997,12,413863
1998,1,460928
1998,2,512930
1998,3,615067
1998,4,536563
1998,5,338403
1998,6,287839
1998,7,288981
1998,8,273395
1998,9,212505
1998,10,319621
1998,11,387319
1998,12,433656
1999,1,483370
1999,2,529469
1999,3,660327
1999,4,542397
1999,5,362220
1999,6,309563
1999,7,311150
1999,8,290900
1999,9,242774
1999,10,340743
1999,11,392063
1999,12,432277
2000,1,466953
2000,2,551168
2000,3,670815
2000,4,572411
2000,5,392469
2000,6,337616
2000,7,338233
2000,8,315998
2000,9,261012
2000,10,374093
2000,11,449628
2000,12,476816
2001,1,536399
2001,2,589055
2001,3,731399
2001,4,609040
2001,5,421257
2001,6,356206
2001,7,370961
2001,8,350746
2001,9,197561
2001,10,301597
2001,11,389004
2001,12,424483
2002,1,478012
