season,shoulder,core,total,shoulder_ratio
1984,420712,700353,1231152,0.600714211262035
1985,487241,873607,1482100,0.557734770898127
1986,666479,1084763,1924111,0.6144005649160231
1987,756484,1294830,2274291,0.5842342237977186
1988,788027,1400715,2457321,0.5625891062778652
1989,948397,1561237,2783269,0.6074651061946392
1990,864318,1587505,2761927,0.5444505686596263
1991,809501,1507179,2586027,0.5370967881054606
1992,936953,1592036,2813856,0.5885250082284571
1993,999223,1735315,3047738,0.5758164944116774
1994,1030972,1811607,3181384,0.569092523930411
1995,1083089,1919530,3346060,0.5642469771246086
1996,1103448,1944128,3384120,0.5675799124337492
1997,1171337,2002788,3530963,0.5848532146188213
1998,1224238,2106822,3718379,0.5810827872501806
1999,1305623,2121213,3818899,0.6155077307182258
2000,1404390,2333669,4187687,0.6017948560828463
2001,1244584,2166856,3800444,0.5743731932348065
2002,1449551,2428700,4308993,0.5968423436406308
2003,1645989,2710900,4861727,0.6071743701353794
2004,1889249,3111156,5586233,0.6072498453950879
2005,1901852,3172025,5730515,0.5995703060347884
2006,2042215,3432268,6135141,0.5950045276184727
2007,1948438,3327122,5927055,0.5856226492446024
2008,1866593,3219146,5689105,0.5798410510116658
2009,1836365,3159597,5594440,0.5812022862409352
2010,2027490,3284763,5965036,0.6172408785656682
2011,1791413,3178286,5582169,0.5636412204565605
2012,1877459,3377988,5914076,0.555792086887224
2013,1935046,3523860,6097953,0.5491268098051568
2014,2008803,3707662,6386032,0.541797769052303
2015,2043348,4014094,6777998,0.5090433856307301
2016,2212420,3931609,6871663,0.5627263545281334
2017,2189939,4273020,7230023,0.5125038029309481
2018,2406865,4608458,7825606,0.52227122391047065
2019,835305,4312732,6024740,0.193683493432933
2020,2470675,3222651,6193794,0.7666591883514535
2021,2827531,4794049,8608488,0.5898001876910312
2022,2174213,3929122,6915640,0.5533584856871332
2023,2714053,4936521,8603599,0.5497906319045336
2024,2671330,4826853,8417291,0.5534309828784925
2025,2765997,4877320,8584006,0.5671141118483102
