origin,country,homes,total_value,median_value,share
NY,USA,6446,4135420011,410157.5,0.10301732404270281
IL,USA,6437,5638571244,510930,0.10287348973981973
MA,USA,5788,3564423050,349447,0.09250143834302883
MI,USA,5065,4234801948,487100,0.08094674934475485
OH,USA,4721,4117288724,503005,0.0754490826567794
PA,USA,4083,3309117514,447150,0.06525282874129003
CANADA:ON,CANADA,3959,3099026577,413000,0.06327111167934539
NJ,USA,3947,2684105773,440982,0.06307933260883462
IN,USA,2081,1904122908,533760,0.03325768714440964
MN,USA,1997,1700740243,490085,0.03191523365083424
WI,USA,1832,1633342750,509915,0.02927827143131113
CT,USA,1599,1170029472,440000,0.025554561145560314
KY,USA,935,946066001,481671,0.014942785910630953
NH,USA,914,612247997,417640,0.014607172537237104
MO,USA,911,1047501863,620435,0.01455922776960941
MD,USA,904,826880301,535961.5,0.014447356645144793
CO,USA,878,502396948,284172.5,0.014031835325704787
VA,USA,832,790300975,528340,0.013296682222080164
GA,USA,756,475292666,297459.5,0.01208208144217861
CA,USA,734,506041418,412664,0.011730486479575529
TX,USA,694,807975679,486521,0.01109122291120629
IA,USA,618,524809383,539116.5,0.009876622131304738
TN,USA,598,717559582,582632,0.009556990347120117
RI,USA,580,329968842,343184.5,0.00926932174135396
CANADA:QC,CANADA,469,278489778,315303,0.007495365339129323
NC,USA,435,406720983,457000,0.00695199130601547
GERMANY:unknown,GERMANY,337,295007489,492680,0.005385795563510836
ME,USA,337,248717572,361200,0.005385795563510836
DE,USA,254,169695601,354927.5,0.004059323659144665
KS,USA,232,264334788,661902.5,0.003707728696541584
SC,USA,187,180458659,438186,0.0029885571821261906
UT,USA,187,84380544,277342,0.0029885571821261906
UNITED KINGDOM:unknown,UNITED KINGDOM,167,165189784,609350,0.002668925397941571
AZ,USA,148,98445289,488080,0.002365275202966183
SD,USA,146,156841441,606600,0.002333312024547721
ENGLAND:unknown,ENGLAND,142,108169885,499496,0.0022693856677107973
NE,USA,142,163632236,788688.5,0.0022693856677107973
VT,USA,139,74426833,411520,0.0022214409000831043
WA,USA,133,75178002,389503,0.0021255513648277186
ND,USA,132,119777371,604437,0.0021095697756184873
NV,USA,131,82850169,336040,0.0020935881864092565
OK,USA,102,120020708,554461,0.0016301220993415585
WV,USA,95,64507678,486100,0.0015182509748769418
DC,USA,86,80402042,605445.5,0.0013744166719938632
SWITZERLAND:unknown,SWITZERLAND,86,88724820,610773.5,0.0013744166719938632
WY,USA,80,55483531,446067,0.0012785271367384773
CANADA:MB,CANADA,76,61408533,579759.5,0.0012146007799015534
OR,USA,65,36816132,422677,0.0010388032986000128
AL,USA,64,41788650,423761,0.0010228217093907817
CANADA:AB,CANADA,56,54147786,477881,8.949689957169341e-4
FRANCE:unknown,FRANCE,56,25427147,350760,8.949689957169341e-4
