origin,homes,prop_share,irs_share,diff_pp
NY,6446,0.11368606701940036,0.12968329538397846,-1.5997228364578107
IL,6437,0.1135273368606702,0.1384806458290209,-2.49533089683507
MA,5788,0.10208112874779542,0.10960463672117574,-0.7523507973380319
MI,5065,0.08932980599647267,0.04584972055475057,4.34800854417221
OH,4721,0.08326278659611992,0.04843717656799834,3.482561002812158
PA,4083,0.07201058201058201,0.04854067480852826,2.3469907202053752
NJ,3947,0.06961199294532627,0.10825915959428688,-3.8647166648960605
IN,2081,0.03670194003527337,0.01655971848478575,2.014222155048762
MN,1997,0.03522045855379189,0.03881184019871662,-0.35913816449247293
WI,1832,0.03231040564373898,0.01469675015524736,1.7613655488491622
CT,1599,0.028201058201058202,0.0452287311115711,-1.7027672910512899
KY,935,0.016490299823633158,0.0066238873939143,0.9866412429718859
NH,914,0.016119929453262787,0.00972883460981163,0.6391094843451156
MO,911,0.016067019400352732,0.01666321672531567,-0.05961973249629382
MD,904,0.015943562610229278,0.02204512523287104,-0.6101562622641763
