season,total,autumn_share,centroid,storm,covid,excluded
1984,1098511,0.2883066259691528,4.663348842205495,FALSE,FALSE,FALSE
1985,1328250,0.29769169960474307,4.589851308112178,FALSE,FALSE,FALSE
1986,1706825,0.3028547156269682,4.578202803450852,FALSE,FALSE,FALSE
1987,2044746,0.3147716146650978,4.51291700778483,FALSE,FALSE,FALSE
1988,2230494,0.3456498874240415,4.353312315567762,FALSE,FALSE,FALSE
1989,2491924,0.3207288825822938,4.477601243055567,FALSE,FALSE,FALSE
1990,2519800,0.34755734582109693,4.327742677990317,FALSE,FALSE,FALSE
1991,2344807,0.3465897193244476,4.358185129948861,FALSE,FALSE,FALSE
1992,2538091,0.33072218450796287,4.450826625207686,FALSE,FALSE,FALSE
1993,2756320,0.33339525163986766,4.430943069019563,FALSE,FALSE,FALSE
1994,2889310,0.3378277166520726,4.407040781363024,FALSE,FALSE,FALSE
1995,3024244,0.32998197235408255,4.4397594903056765,FALSE,FALSE,FALSE
1996,3040582,0.3336700013352707,4.422434257651989,FALSE,FALSE,FALSE
1997,3192560,0.3342371012604305,4.418504585661664,FALSE,FALSE,FALSE
1998,3356159,0.339851598210931,4.390373936395743,FALSE,FALSE,FALSE
1999,3426430,0.3400282509784236,4.400241359082194,FALSE,FALSE,FALSE
2000,3766430,0.34529700538706415,4.366559845795621,FALSE,FALSE,FALSE
2001,3410653,0.32694149771319453,4.4462042899116385,FALSE,FALSE,FALSE
2002,3865808,0.3319487155078576,4.446987537922214,FALSE,FALSE,FALSE
2003,4359027,0.33702154173396953,4.414153892600344,FALSE,FALSE,FALSE
2004,4995087,0.34257941853665413,4.400019459120532,TRUE,FALSE,TRUE
2005,5155552,0.35103922916498564,4.366447666515632,FALSE,FALSE,FALSE
2006,5531271,0.34350025518547184,4.396261727187115,FALSE,FALSE,FALSE
2007,5350912,0.350971012044302,4.337398185580327,FALSE,FALSE,FALSE
2008,5164585,0.3459449307156335,4.378621902824719,FALSE,FALSE,FALSE
2009,5042335,0.3461664090148711,4.377330145656725,FALSE,FALSE,FALSE
2010,5377403,0.3494636723340244,4.384091726061818,FALSE,FALSE,FALSE
2011,5050223,0.3464013371290733,4.37643743652508,FALSE,FALSE,FALSE
2012,5337363,0.3415673620100413,4.385156677557813,FALSE,FALSE,FALSE
2013,5506837,0.33652022022805467,4.418519378728661,FALSE,FALSE,FALSE
2014,5783141,0.3351289550090513,4.408542520405434,FALSE,FALSE,FALSE
2015,6171165,0.33896938422485867,4.380368212485001,FALSE,FALSE,FALSE
2016,6242342,0.339367980799514,4.416824166314502,FALSE,FALSE,FALSE
2017,6561358,0.33863035670359704,4.378209968119404,TRUE,FALSE,TRUE
2018,7099852,0.3293805279321315,4.440659748963781,FALSE,FALSE,FALSE
2019,5881736,0.44093155490147806,3.723921474884286,FALSE,TRUE,TRUE
2020,5247428,0.2983907544800996,4.661384777456689,FALSE,TRUE,TRUE
2021,7772109,0.3656666420916125,4.318399677616462,FALSE,FALSE,FALSE
2022,6155310,0.3423613108031927,4.399487434426536,TRUE,FALSE,TRUE
2023,7760329,0.358920994200117,4.3130871126726715,FALSE,FALSE,FALSE
2024,7582429,0.35587395543037725,4.356793449697979,TRUE,FALSE,TRUE
