county,county_name,site,year,aadt
03,Collier,0001,1970,3990
12,Lee,0001,1970,809
03,Collier,0001,1971,3805
12,Lee,0001,1971,908
03,Collier,0001,1972,2978
12,Lee,0001,1972,716
03,Collier,0001,1973,3920
12,Lee,0001,1973,857
03,Collier,0001,1974,4025
12,Lee,0001,1974,908
03,Collier,0001,1975,4191
12,Lee,0001,1975,805
03,Collier,0001,1976,2140
12,Lee,0001,1976,934
03,Collier,0001,1977,3793
12,Lee,0001,1977,1038
03,Collier,0001,1978,3365
12,Lee,0001,1978,1124
03,Collier,0001,1979,4098
03,Collier,0001,1980,3498
03,Collier,0001,1981,4505
03,Collier,0001,1982,3378
03,Collier,0001,1983,3683
03,Collier,0001,1984,3658
03,Collier,0001,1985,3807
03,Collier,0001,1988,7089
03,Collier,0001,1989,6687
03,Collier,0001,1992,6300
03,Collier,0001,1993,6400
03,Collier,0001,1994,6800
03,Collier,0001,1995,7500
03,Collier,0001,1996,7200
03,Collier,0001,1997,7500
03,Collier,0001,1998,8700
03,Collier,0001,1999,8500
03,Collier,0001,2000,8700
03,Collier,0001,2001,9900
03,Collier,0001,2002,8600
03,Collier,0001,2003,10400
03,Collier,0001,2004,10300
03,Collier,0001,2005,11400
03,Collier,0001,2006,11900
03,Collier,0001,2007,11400
03,Collier,0001,2008,10500
03,Collier,0001,2009,10900
03,Collier,0001,2010,10900
03,Collier,0001,2011,11100
03,Collier,0001,2012,10200
03,Collier,0001,2013,10100
03,Collier,0001,2014,10500
03,Collier,0001,2015,11700
03,Collier,0001,2016,12600
03,Collier,0001,2017,13800
03,Collier,0001,2018,13100
03,Collier,0001,2019,12800
03,Collier,0001,2020,11800
03,Collier,0001,2021,14500
03,Collier,0001,2022,14900
03,Collier,0001,2023,16400
03,Collier,0001,2024,12400
03,Collier,0001,2025,12600
03,Collier,0002,1970,2459
12,Lee,0002,1970,2018
03,Collier,0002,1971,2476
12,Lee,0002,1971,2052
03,Collier,0002,1972,2268
12,Lee,0002,1972,2154
03,Collier,0002,1973,2585
12,Lee,0002,1973,2535
03,Collier,0002,1974,3759
12,Lee,0002,1974,2441
03,Collier,0002,1975,3580
12,Lee,0002,1975,2716
03,Collier,0002,1976,3175
12,Lee,0002,1976,2513
03,Collier,0002,1977,3430
12,Lee,0002,1977,3048
03,Collier,0002,1978,3738
12,Lee,0002,1978,3454
03,Collier,0002,1979,4670
12,Lee,0002,1979,3559
03,Collier,0002,1980,4853
12,Lee,0002,1980,3579
03,Collier,0002,1981,5178
03,Collier,0002,1982,4330
03,Collier,0002,1983,4669
12,Lee,0002,1983,5935
03,Collier,0002,1984,5269
12,Lee,0002,1984,5838
03,Collier,0002,1985,6338
12,Lee,0002,1985,6335
03,Collier,0002,1986,9170
12,Lee,0002,1986,6844
03,Collier,0002,1987,7668
12,Lee,0002,1987,9172
03,Collier,0002,1988,7226
12,Lee,0002,1988,8856
03,Collier,0002,1989,6614
12,Lee,0002,1989,7772
03,Collier,0002,1991,6333
03,Collier,0002,1992,7400
03,Collier,0002,1993,7200
03,Collier,0002,1994,6900
03,Collier,0002,1995,6700
03,Collier,0002,1996,7400
03,Collier,0002,1997,6800
03,Collier,0002,1998,8800
03,Collier,0002,1999,9300
03,Collier,0002,2000,9300
03,Collier,0002,2001,9600
03,Collier,0002,2002,8700
03,Collier,0002,2003,8600
03,Collier,0002,2004,9800
03,Collier,0002,2005,8900
03,Collier,0002,2006,8700
03,Collier,0002,2007,9900
03,Collier,0002,2008,7400
03,Collier,0002,2009,7200
03,Collier,0002,2010,6000
03,Collier,0002,2011,6000
12,Lee,0002,2011,12800
12,Lee,0002,2012,12600
03,Collier,0002,2012,5400
03,Collier,0002,2013,5300
12,Lee,0002,2013,12600
12,Lee,0002,2014,11600
03,Collier,0002,2014,5500
03,Collier,0002,2015,6700
03,Collier,0002,2016,7100
03,Collier,0002,2017,8100
03,Collier,0002,2018,8700
03,Collier,0002,2019,9300
03,Collier,0002,2020,8600
03,Collier,0002,2021,8700
03,Collier,0002,2022,8900
03,Collier,0002,2023,9800
03,Collier,0002,2024,10400
03,Collier,0002,2025,10100
03,Collier,0003,1970,17299
12,Lee,0003,1970,4021
03,Collier,0003,1971,19245
12,Lee,0003,1971,4884
03,Collier,0003,1972,19329
12,Lee,0003,1972,5418
03,Collier,0003,1973,23815
12,Lee,0003,1973,7043
12,Lee,0003,1974,7818
03,Collier,0003,1975,29093
12,Lee,0003,1975,8250
03,Collier,0003,1976,23935
12,Lee,0003,1976,8071
03,Collier,0003,1977,25200
12,Lee,0003,1977,8371
03,Collier,0003,1978,29708
12,Lee,0003,1978,8502
03,Collier,0003,1979,30563
12,Lee,0003,1979,8442
03,Collier,0003,1980,31480
12,Lee,0003,1980,8416
03,Collier,0003,1981,32858
03,Collier,0003,1982,33273
12,Lee,0003,1982,11351
03,Collier,0003,1983,30921
12,Lee,0003,1983,9644
03,Collier,0003,1984,31068
12,Lee,0003,1984,10660
03,Collier,0003,1985,29619
12,Lee,0003,1985,11016
03,Collier,0003,1986,30230
12,Lee,0003,1986,11674
03,Collier,0003,1987,30186
12,Lee,0003,1987,13358
03,Collier,0003,1988,30852
12,Lee,0003,1988,14457
03,Collier,0003,1989,30749
12,Lee,0003,1989,14317
03,Collier,0003,1990,32083
12,Lee,0003,1990,20493
03,Collier,0003,1991,36404
12,Lee,0003,1991,18789
03,Collier,0003,1992,39000
12,Lee,0003,1992,18800
03,Collier,0003,1993,41500
12,Lee,0003,1993,20600
03,Collier,0003,1994,41500
12,Lee,0003,1994,23000
03,Collier,0003,1995,40500
12,Lee,0003,1995,20500
03,Collier,0003,1996,47000
12,Lee,0003,1996,23000
03,Collier,0003,1997,47000
12,Lee,0003,1997,24500
03,Collier,0003,1998,49000
12,Lee,0003,1998,20500
03,Collier,0003,1999,50000
12,Lee,0003,1999,21500
03,Collier,0003,2000,53000
12,Lee,0003,2000,26000
03,Collier,0003,2001,54000
12,Lee,0003,2001,26500
03,Collier,0003,2002,53000
12,Lee,0003,2002,27500
03,Collier,0003,2003,53000
12,Lee,0003,2003,33000
03,Collier,0003,2004,56500
12,Lee,0003,2004,28500
03,Collier,0003,2005,56000
12,Lee,0003,2005,32000
03,Collier,0003,2006,60000
12,Lee,0003,2006,34000
12,Lee,0003,2007,33500
03,Collier,0003,2007,56000
12,Lee,0003,2008,32500
03,Collier,0003,2008,52500
12,Lee,0003,2009,28000
03,Collier,0003,2009,45500
03,Collier,0003,2010,50000
12,Lee,0003,2010,27500
03,Collier,0003,2011,49500
12,Lee,0003,2011,26500
12,Lee,0003,2012,26000
03,Collier,0003,2012,43000
03,Collier,0003,2013,42500
12,Lee,0003,2013,25000
12,Lee,0003,2014,26000
03,Collier,0003,2014,43000
12,Lee,0003,2015,30000
03,Collier,0003,2015,44000
03,Collier,0003,2016,45000
12,Lee,0003,2016,32500
03,Collier,0003,2017,40500
12,Lee,0003,2017,29500
12,Lee,0003,2018,31500
03,Collier,0003,2018,38000
03,Collier,0003,2019,41500
12,Lee,0003,2019,32000
12,Lee,0003,2020,32500
03,Collier,0003,2020,34000
12,Lee,0003,2021,31000
03,Collier,0003,2021,42000
12,Lee,0003,2022,32000
03,Collier,0003,2022,42000
12,Lee,0003,2023,34000
03,Collier,0003,2023,44000
12,Lee,0003,2024,33000
03,Collier,0003,2024,44000
03,Collier,0003,2025,44000
12,Lee,0003,2025,33000
03,Collier,0004,1970,21137
12,Lee,0004,1970,6433
03,Collier,0004,1971,24823
12,Lee,0004,1971,6676
03,Collier,0004,1972,23246
12,Lee,0004,1972,7853
03,Collier,0004,1973,21756
12,Lee,0004,1973,8693
03,Collier,0004,1974,22579
12,Lee,0004,1974,10919
03,Collier,0004,1975,27018
12,Lee,0004,1975,8615
03,Collier,0004,1976,21831
12,Lee,0004,1976,10674
03,Collier,0004,1977,24626
12,Lee,0004,1977,10877
03,Collier,0004,1978,29428
12,Lee,0004,1978,11252
03,Collier,0004,1979,28206
12,Lee,0004,1979,11582
03,Collier,0004,1980,25383
12,Lee,0004,1980,11883
03,Collier,0004,1981,24023
03,Collier,0004,1982,26541
12,Lee,0004,1982,13232
03,Collier,0004,1983,24821
12,Lee,0004,1983,12108
03,Collier,0004,1984,25834
12,Lee,0004,1984,12776
03,Collier,0004,1985,27778
12,Lee,0004,1985,13450
03,Collier,0004,1986,32906
12,Lee,0004,1986,14717
03,Collier,0004,1987,27439
12,Lee,0004,1987,14827
03,Collier,0004,1988,27842
12,Lee,0004,1988,14763
03,Collier,0004,1989,29034
12,Lee,0004,1989,13015
03,Collier,0004,1990,34175
12,Lee,0004,1990,16537
03,Collier,0004,1991,35057
12,Lee,0004,1991,18778
03,Collier,0004,1992,38500
12,Lee,0004,1992,20000
03,Collier,0004,1993,40500
12,Lee,0004,1993,19000
03,Collier,0004,1994,35000
12,Lee,0004,1994,20000
03,Collier,0004,1995,33500
12,Lee,0004,1995,17100
03,Collier,0004,1996,37500
12,Lee,0004,1996,18400
03,Collier,0004,1997,37000
12,Lee,0004,1997,19800
03,Collier,0004,1998,37000
12,Lee,0004,1998,18400
12,Lee,0004,1999,15900
12,Lee,0004,2000,18400
12,Lee,0004,2001,23000
12,Lee,0004,2002,22500
12,Lee,0004,2003,26500
12,Lee,0004,2004,27000
12,Lee,0004,2005,25500
12,Lee,0004,2006,27000
03,Collier,0005,1970,4243
12,Lee,0005,1970,5519
03,Collier,0005,1971,3231
12,Lee,0005,1971,5866
03,Collier,0005,1972,2449
12,Lee,0005,1972,6089
03,Collier,0005,1973,2494
12,Lee,0005,1973,6357
03,Collier,0005,1974,2130
12,Lee,0005,1974,6977
03,Collier,0005,1975,2725
12,Lee,0005,1975,6917
03,Collier,0005,1976,2840
12,Lee,0005,1976,6446
03,Collier,0005,1977,3665
12,Lee,0005,1977,6691
03,Collier,0005,1978,2950
12,Lee,0005,1978,6946
03,Collier,0005,1979,3310
12,Lee,0005,1979,6924
03,Collier,0005,1980,2668
12,Lee,0005,1980,7008
03,Collier,0005,1981,3123
03,Collier,0005,1982,3268
12,Lee,0005,1982,11217
03,Collier,0005,1983,3315
12,Lee,0005,1983,11369
03,Collier,0005,1984,3682
12,Lee,0005,1984,12309
03,Collier,0005,1985,3490
12,Lee,0005,1985,11713
03,Collier,0005,1986,3760
12,Lee,0005,1986,13344
03,Collier,0005,1987,3908
12,Lee,0005,1987,13288
03,Collier,0005,1988,4171
12,Lee,0005,1988,14343
03,Collier,0005,1989,3708
12,Lee,0005,1989,13222
03,Collier,0005,1990,4967
12,Lee,0005,1990,13060
03,Collier,0005,1991,4383
12,Lee,0005,1991,13278
03,Collier,0005,1992,4800
12,Lee,0005,1992,15500
03,Collier,0005,1993,4400
12,Lee,0005,1993,13300
03,Collier,0005,1994,3700
12,Lee,0005,1994,17000
03,Collier,0005,1995,4400
12,Lee,0005,1995,14900
03,Collier,0005,1996,4200
12,Lee,0005,1996,16000
03,Collier,0005,1997,4800
12,Lee,0005,1997,17600
03,Collier,0005,1998,4100
12,Lee,0005,1998,18800
03,Collier,0005,1999,4700
12,Lee,0005,1999,19500
03,Collier,0005,2000,4600
12,Lee,0005,2000,18700
03,Collier,0005,2001,4600
12,Lee,0005,2001,18500
03,Collier,0005,2002,4900
12,Lee,0005,2002,19800
03,Collier,0005,2003,4500
12,Lee,0005,2003,18800
03,Collier,0005,2004,5000
12,Lee,0005,2004,27000
03,Collier,0005,2005,4700
12,Lee,0005,2005,32000
03,Collier,0005,2006,4000
12,Lee,0005,2006,38000
12,Lee,0005,2007,35500
03,Collier,0005,2007,4600
12,Lee,0005,2008,32500
03,Collier,0005,2008,3800
12,Lee,0005,2009,31500
03,Collier,0005,2009,3800
03,Collier,0005,2010,3800
12,Lee,0005,2010,30500
03,Collier,0005,2011,3800
12,Lee,0005,2011,30500
12,Lee,0005,2012,32000
03,Collier,0005,2012,3500
03,Collier,0005,2013,3900
12,Lee,0005,2013,36500
12,Lee,0005,2014,39000
03,Collier,0005,2014,3900
03,Collier,0005,2015,5900
03,Collier,0005,2016,6100
03,Collier,0005,2017,5500
03,Collier,0005,2018,4600
03,Collier,0005,2019,4600
03,Collier,0005,2020,4400
03,Collier,0005,2021,5000
03,Collier,0005,2022,5700
03,Collier,0005,2023,6100
03,Collier,0005,2024,6300
03,Collier,0005,2025,5000
03,Collier,0006,1970,1570
12,Lee,0006,1970,3031
03,Collier,0006,1971,1175
12,Lee,0006,1971,3289
03,Collier,0006,1972,1123
12,Lee,0006,1972,3387
03,Collier,0006,1973,1012
12,Lee,0006,1973,3818
03,Collier,0006,1974,975
12,Lee,0006,1974,3331
03,Collier,0006,1976,828
12,Lee,0006,1976,3233
03,Collier,0006,1977,765
12,Lee,0006,1977,3326
03,Collier,0006,1978,1313
12,Lee,0006,1978,3452
03,Collier,0006,1979,1185
12,Lee,0006,1979,3498
03,Collier,0006,1980,1183
12,Lee,0006,1980,3604
03,Collier,0006,1981,1280
03,Collier,0006,1982,1205
12,Lee,0006,1982,6540
03,Collier,0006,1983,1168
12,Lee,0006,1983,7280
03,Collier,0006,1984,1518
12,Lee,0006,1984,7422
03,Collier,0006,1985,1360
12,Lee,0006,1985,6964
03,Collier,0006,1986,1435
12,Lee,0006,1986,8041
03,Collier,0006,1987,1400
12,Lee,0006,1987,7892
03,Collier,0006,1988,1343
12,Lee,0006,1988,8177
03,Collier,0006,1989,1289
12,Lee,0006,1989,7053
03,Collier,0006,1991,1052
12,Lee,0006,1991,8896
03,Collier,0006,1992,1300
12,Lee,0006,1992,10500
03,Collier,0006,1993,1250
12,Lee,0006,1993,10600
03,Collier,0006,1994,1200
12,Lee,0006,1994,11100
03,Collier,0006,1995,1300
12,Lee,0006,1995,10400
03,Collier,0006,1996,1450
12,Lee,0006,1996,10600
03,Collier,0006,1997,1200
12,Lee,0006,1997,12200
03,Collier,0006,1998,1500
12,Lee,0006,1998,13200
03,Collier,0006,1999,1850
12,Lee,0006,1999,13000
03,Collier,0006,2000,1800
12,Lee,0006,2000,13900
03,Collier,0006,2001,1700
12,Lee,0006,2001,12700
03,Collier,0006,2002,1900
12,Lee,0006,2002,14900
03,Collier,0006,2003,2400
12,Lee,0006,2003,14000
03,Collier,0006,2004,2000
12,Lee,0006,2004,16300
03,Collier,0006,2005,1750
12,Lee,0006,2005,17500
03,Collier,0006,2006,1650
12,Lee,0006,2006,18600
12,Lee,0006,2007,18000
03,Collier,0006,2007,1700
12,Lee,0006,2008,15500
03,Collier,0006,2008,1800
12,Lee,0006,2009,15600
03,Collier,0006,2009,1550
03,Collier,0006,2010,1450
12,Lee,0006,2010,15200
03,Collier,0006,2011,1450
12,Lee,0006,2011,15200
12,Lee,0006,2012,15200
03,Collier,0006,2012,1250
03,Collier,0006,2013,1650
12,Lee,0006,2013,15200
12,Lee,0006,2014,15600
03,Collier,0006,2014,1650
12,Lee,0006,2015,17700
03,Collier,0006,2015,1800
03,Collier,0006,2016,1900
12,Lee,0006,2016,20000
03,Collier,0006,2017,1800
12,Lee,0006,2017,20000
12,Lee,0006,2018,22000
03,Collier,0006,2018,1650
03,Collier,0006,2019,1550
12,Lee,0006,2019,23000
12,Lee,0006,2020,24000
03,Collier,0006,2020,1800
12,Lee,0006,2021,23500
03,Collier,0006,2021,1900
12,Lee,0006,2022,27000
03,Collier,0006,2022,2500
12,Lee,0006,2023,27000
03,Collier,0006,2023,2700
12,Lee,0006,2024,30000
03,Collier,0006,2024,2800
03,Collier,0006,2025,2150
12,Lee,0006,2025,33000
12,Lee,0007,1970,1370
12,Lee,0007,1971,1890
12,Lee,0007,1972,1831
12,Lee,0007,1973,2579
12,Lee,0007,1974,3174
12,Lee,0007,1975,3591
12,Lee,0007,1976,3123
12,Lee,0007,1977,3227
12,Lee,0007,1978,3356
12,Lee,0007,1979,3278
12,Lee,0007,1980,3493
12,Lee,0007,1983,3413
12,Lee,0007,1984,3686
03,Collier,0007,1985,2181
12,Lee,0007,1985,3641
03,Collier,0007,1986,2458
12,Lee,0007,1986,3874
03,Collier,0007,1987,2469
12,Lee,0007,1987,3629
12,Lee,0007,1988,4073
12,Lee,0007,1989,3779
12,Lee,0007,1991,2571
12,Lee,0007,1992,2900
12,Lee,0007,1993,3200
12,Lee,0007,1994,3400
03,Collier,0008,1970,2887
12,Lee,0008,1970,7615
03,Collier,0008,1971,2549
12,Lee,0008,1971,7872
03,Collier,0008,1972,2610
12,Lee,0008,1972,9609
03,Collier,0008,1973,2457
12,Lee,0008,1973,10408
03,Collier,0008,1974,2330
12,Lee,0008,1974,12160
03,Collier,0008,1975,3370
12,Lee,0008,1975,13770
03,Collier,0008,1976,2335
12,Lee,0008,1976,12422
03,Collier,0008,1977,2878
12,Lee,0008,1977,12702
12,Lee,0008,1978,12966
12,Lee,0008,1979,14598
12,Lee,0008,1980,14254
12,Lee,0008,1983,15636
12,Lee,0008,1984,16940
12,Lee,0008,1985,17040
12,Lee,0008,1986,18558
12,Lee,0008,1987,18431
12,Lee,0008,1988,18583
12,Lee,0008,1989,17290
12,Lee,0008,1990,20154
12,Lee,0008,1991,20656
12,Lee,0008,1992,21500
12,Lee,0008,1993,22500
12,Lee,0008,1994,24500
12,Lee,0008,1995,23500
12,Lee,0008,1996,21000
12,Lee,0008,1997,26500
12,Lee,0008,1998,26000
12,Lee,0008,1999,27000
12,Lee,0008,2000,28000
12,Lee,0008,2001,31000
12,Lee,0008,2002,32000
12,Lee,0008,2003,36500
12,Lee,0008,2004,37500
12,Lee,0008,2005,35000
12,Lee,0008,2006,38500
12,Lee,0008,2007,37500
12,Lee,0008,2008,35500
12,Lee,0008,2009,35500
12,Lee,0008,2010,34500
12,Lee,0008,2011,35500
12,Lee,0008,2012,35000
12,Lee,0008,2013,35000
12,Lee,0008,2014,35000
12,Lee,0008,2015,36500
12,Lee,0008,2016,33500
12,Lee,0008,2017,35500
12,Lee,0008,2018,35500
12,Lee,0008,2019,34500
12,Lee,0008,2020,29500
12,Lee,0008,2021,32500
12,Lee,0008,2022,35500
12,Lee,0008,2023,36000
12,Lee,0008,2024,35000
12,Lee,0008,2025,35000
12,Lee,0009,1970,2800
12,Lee,0009,1971,3016
12,Lee,0009,1972,3439
12,Lee,0009,1973,4126
12,Lee,0009,1974,6120
12,Lee,0009,1975,7013
12,Lee,0009,1976,6235
12,Lee,0009,1977,6344
03,Collier,0009,1978,1130
12,Lee,0009,1978,6482
12,Lee,0009,1979,6251
12,Lee,0009,1980,6770
12,Lee,0009,1982,12630
12,Lee,0009,1983,6212
12,Lee,0009,1984,7198
12,Lee,0009,1985,7273
12,Lee,0009,1986,8002
12,Lee,0009,1987,9472
12,Lee,0009,1988,9504
12,Lee,0009,1989,8834
12,Lee,0010,1970,8427
12,Lee,0010,1971,8194
12,Lee,0010,1972,8978
12,Lee,0010,1973,9918
12,Lee,0010,1974,10972
12,Lee,0010,1975,11648
12,Lee,0010,1976,11468
12,Lee,0010,1977,11356
12,Lee,0010,1978,11256
12,Lee,0010,1980,11326
12,Lee,0010,1982,13974
12,Lee,0010,1983,14526
12,Lee,0010,1985,16015
12,Lee,0010,1986,17588
12,Lee,0010,1987,19601
12,Lee,0010,1988,17979
12,Lee,0010,1989,17364
12,Lee,0010,1990,23539
12,Lee,0010,1991,21863
12,Lee,0010,1992,22500
12,Lee,0010,1993,22500
12,Lee,0010,1994,21000
12,Lee,0010,1995,19500
12,Lee,0010,1996,23000
12,Lee,0010,1997,23000
12,Lee,0010,1998,24000
12,Lee,0010,1999,24500
12,Lee,0010,2000,24500
12,Lee,0010,2001,24500
12,Lee,0010,2002,24000
12,Lee,0010,2003,26000
12,Lee,0010,2004,27000
