state,people,share
NY,6446,0.11368606701940036
IL,6437,0.1135273368606702
MA,5788,0.10208112874779542
MI,5065,0.08932980599647267
OH,4721,0.08326278659611992
PA,4083,0.07201058201058201
NJ,3947,0.06961199294532627
IN,2081,0.03670194003527337
MN,1997,0.03522045855379189
WI,1832,0.03231040564373898
CT,1599,0.028201058201058202
KY,935,0.016490299823633158
NH,914,0.016119929453262787
MO,911,0.016067019400352732
MD,904,0.015943562610229278
CO,878,0.015485008818342152
VA,832,0.014673721340388007
GA,756,0.013333333333333334
CA,734,0.012945326278659613
TX,694,0.012239858906525573
IA,618,0.0108994708994709
TN,598,0.01054673721340388
RI,580,0.010229276895943563
NC,435,0.007671957671957672
ME,337,0.005943562610229277
DE,254,0.004479717813051147
KS,232,0.004091710758377425
SC,187,0.0032980599647266314
UT,187,0.0032980599647266314
AZ,148,0.0026102292768959436
SD,146,0.0025749559082892414
NE,142,0.002504409171075838
VT,139,0.0024514991181657847
WA,133,0.002345679012345679
ND,132,0.002328042328042328
NV,131,0.0023104056437389772
OK,102,0.0017989417989417989
WV,95,0.001675485008818342
DC,86,0.0015167548500881834
WY,80,0.0014109347442680777
OR,65,0.001146384479717813
AL,64,0.001128747795414462
AR,49,8.641975308641976e-4
MT,40,7.054673721340388e-4
AK,37,6.525573192239859e-4
LA,34,5.99647266313933e-4
MS,24,4.232804232804233e-4
ID,21,3.7037037037037035e-4
NM,18,3.1746031746031746e-4
HI,14,2.469135802469136e-4
PR,6,1.0582010582010582e-4
VI,5,8.818342151675486e-5
AE,4,7.054673721340387e-5
MH,2,3.527336860670194e-5
AP,1,1.763668430335097e-5
