season_year,opens,closes,peak_gap,mean_gap,window_days
2000,2000-10-06,2001-04-20,51.36190476190476,25.175088062622308,196
2001,2001-10-08,2002-04-11,42.56904761904762,22.683561643835613,185
2002,2002-10-14,2003-04-13,54.87380952380952,25.82108284409654,181
2003,2003-09-30,2004-04-15,51.53095238095237,24.7689760603695,198
2004,2004-10-16,2005-04-05,49.5595238095238,24.780593607305935,171
2005,2005-10-19,2006-03-28,46.33571428571428,23.120789302022178,160
2006,2006-10-11,2007-04-19,53.65238095238095,24.478408349641224,190
2007,2007-10-13,2008-04-13,49.30238095238094,25.295771532656776,183
2008,2008-10-18,2009-04-21,50.707142857142856,24.997514677103716,185
2009,2009-10-02,2010-03-06,45.826190476190476,23.365883887801694,155
2010,2010-10-28,2011-05-07,50.58333333333333,24.772322243966077,191
2011,2011-10-26,2012-03-14,39.56666666666666,21.18460837887067,140
2012,2012-10-07,2013-03-29,49.65238095238095,23.676092628832354,173
2013,2013-10-18,2014-04-11,59.85714285714285,27.49750815394651,175
2014,2014-10-09,2015-05-01,57.98333333333333,27.631095890410958,204
2015,2015-10-15,2016-04-18,43.76428571428571,23.79089903721051,186
2016,2016-10-25,2017-04-08,52.259523809523806,22.916431833007174,165
2017,2017-11-06,2018-04-29,57.24523809523809,24.02345075016308,174
2018,2018-10-13,2019-04-18,48.84523809523809,24.803483365949116,187
2019,2019-10-13,2020-04-29,47.17142857142857,24.89126984126984,199
2020,2020-10-16,2021-03-21,54.659523809523805,23.05339856490541,156
2021,2021-10-24,2022-04-11,46.8952380952381,23.37180691454664,169
2022,2022-10-29,2023-04-10,50.219047619047615,23.43292237442922,163
2023,2023-10-09,2024-04-08,49.01190476190476,22.36434426229508,182
2024,2024-10-16,2025-03-13,51.847619047619034,22.787058056099152,148
2025,2025-10-22,2026-03-31,53.27380952380952,23.258114807566862,160
