year,autumn,summer,oct,october_share,autumn_lift,flag
1984,316708,203823,78312,0.2472687775490357,1.553838379378186,
1985,395409,286566,99949,0.25277371025950346,1.3798182617616883,
1986,516920,396114,138004,0.26697361293817223,1.304977859909016,
1987,643628,469667,171489,0.26644117409435264,1.3703922140580453,
1988,770970,520887,214449,0.2781547920152535,1.4801098894769882,
1989,799232,549092,223199,0.27926684617232544,1.4555520750621025,
1990,875775,639849,240400,0.274499728811624,1.3687213701982812,
1991,812686,538401,214520,0.263964187890526,1.50944370459936,
1992,839403,638700,221033,0.2633216702823316,1.3142367308595584,
1993,918944,607969,252570,0.27484808649928616,1.5114981191475223,
1994,976089,668127,260543,0.26692545454359184,1.4609333255503818,
1995,997946,652844,263465,0.26400727093449944,1.5286132674880983,
1996,1014551,691884,272850,0.2689367020484924,1.4663599678558834,
1997,1067072,764418,296371,0.2777422704372339,1.3959273591150392,
1998,1140596,774881,319621,0.28022279580149323,1.4719627917060814,
1999,1165083,844824,340743,0.2924624254237681,1.3790836908042385,
2000,1300537,915243,374093,0.2876450266313069,1.4209745390022104,
2001,1115084,919268,301597,0.27047020672882044,1.2130129624875445,
2002,1283250,884697,349719,0.2725260081823495,1.4504966107040038,
2003,1469086,1029304,416949,0.2838152429469752,1.4272615281782641,
2004,1711214,1189650,481945,0.2816392339006109,1.4384180221073426,hurricane
2005,1809801,1323918,479131,0.2647423667021954,1.367003847670324,
2006,1899993,1317258,513426,0.27022520609286454,1.442384863101989,
2007,1878015,1411255,537606,0.2862628892740473,1.3307410779766946,
2008,1786662,1279877,492258,0.2755182569506711,1.3959638308993756,
2009,1745487,1306733,470931,0.2697992021710846,1.3357640772828114,
2010,1879207,1309531,532025,0.2831114400914854,1.4350229204196006,
2011,1749404,1229180,469145,0.2681741896097185,1.4232284937926096,
2012,1823069,1240747,484768,0.2659076535227136,1.4693317815799676,
2013,1853162,1220424,478376,0.25814041082215156,1.5184575196816843,
2014,1938098,1308912,503243,0.25965818033969384,1.480693889275979,
2015,2091836,1350519,535921,0.2561964704690043,1.5489126772744404,
2016,2118451,1307647,550316,0.25977282457795814,1.6200480710772862,
2017,2221875,1339079,581317,0.26163353023909985,1.6592561006482813,hurricane
2018,2338553,1480318,569553,0.24354932302154367,1.5797639426123307,
2019,2593443,1558365,638922,0.2463605330828555,1.6642076792022409,covid
2020,1565784,743627,417305,0.2665150493299204,2.105604019219313,covid
2021,2842001,2013046,769524,0.2707683776325202,1.4117913847969694,
2022,2107340,1806834,432667,0.20531428246035285,1.1663163301111226,hurricane
2023,2785345,1832718,737527,0.2647883834857082,1.5197891874254523,
2024,2698389,1814672,657488,0.2436594575504125,1.4869844247335056,hurricane
2025,2817834,1919149,774689,0.27492357605167655,1.468272656265876,
